pipeline_policy,trigger_position,n,bases,exact_rate,token_rate,partial_rate,delivered_rate
none,prefix,15120,1008,1.0,1.0,0.0,1.0
none,middle,15120,1008,1.0,1.0,0.0,1.0
none,end,15120,1008,1.0,1.0,0.0,1.0
none,old_turn,15120,1008,1.0,1.0,0.0,1.0
none,recent_turn,15120,1008,1.0,1.0,0.0,1.0
none,system,15120,1008,1.0,1.0,0.0,1.0
none,tool_output,900,60,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
keep_recent_messages,prefix,15120,1008,0.33134920634920634,0.33134920634920634,0.0,0.33134920634920634
keep_recent_messages,middle,15120,1008,0.5475529100529101,0.5475529100529101,0.0,0.5475529100529101
keep_recent_messages,end,15120,1008,0.5476190476190477,0.5476190476190477,0.0,0.5476190476190477
keep_recent_messages,old_turn,15120,1008,0.33134920634920634,0.33134920634920634,0.0,0.33134920634920634
keep_recent_messages,recent_turn,15120,1008,0.5476190476190477,0.5476190476190477,0.0,0.5476190476190477
keep_recent_messages,system,15120,1008,0.9702380952380952,0.9702380952380952,0.0,0.9702380952380952
keep_recent_messages,tool_output,900,60,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
truncate_head,prefix,15120,1008,0.2056878306878307,0.2056878306878307,0.0,0.2056878306878307
truncate_head,middle,15120,1008,0.5872354497354497,0.5872354497354497,0.0030423280423280425,0.5872354497354497
truncate_head,end,15120,1008,0.9394179894179894,0.9394179894179894,0.002711640211640212,0.9394179894179894
truncate_head,old_turn,15120,1008,0.2056878306878307,0.2056878306878307,0.0,0.2056878306878307
truncate_head,recent_turn,15120,1008,0.45132275132275135,0.45132275132275135,0.0007275132275132275,0.45132275132275135
truncate_head,system,15120,1008,0.2056878306878307,0.2056878306878307,0.0,0.2056878306878307
truncate_head,tool_output,900,60,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
truncate_tail,prefix,15120,1008,1.0,1.0,0.0,1.0
truncate_tail,middle,15120,1008,0.4447089947089947,0.4447089947089947,0.0,0.4447089947089947
truncate_tail,end,15120,1008,0.24708994708994708,0.24708994708994708,0.0,0.24708994708994708
truncate_tail,old_turn,15120,1008,1.0,1.0,0.0,1.0
truncate_tail,recent_turn,15120,1008,0.7430555555555556,0.7430555555555556,0.0,0.7430555555555556
truncate_tail,system,15120,1008,1.0,1.0,0.0,1.0
truncate_tail,tool_output,900,60,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
truncate_middle,prefix,15120,1008,1.0,1.0,0.0,1.0
truncate_middle,middle,15120,1008,0.4314153439153439,0.4314153439153439,0.0,0.4314153439153439
truncate_middle,end,15120,1008,0.828042328042328,0.828042328042328,0.0,0.828042328042328
truncate_middle,old_turn,15120,1008,1.0,1.0,0.0,1.0
truncate_middle,recent_turn,15120,1008,0.9227513227513228,0.9227513227513228,0.0,0.9227513227513228
truncate_middle,system,15120,1008,1.0,1.0,0.0,1.0
truncate_middle,tool_output,900,60,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
