pipeline_policy,trigger_position,trigger_id,n,bases,delivered_rate
truncate_tail,middle,natural_001,3024,1008,0.44775132275132273
truncate_tail,middle,rand_001,3024,1008,0.44775132275132273
truncate_tail,middle,unicode_001,3024,1008,0.4417989417989418
truncate_tail,end,boundary_001,3024,1008,0.2457010582010582
truncate_tail,end,multi_001,3024,1008,0.24768518518518517
truncate_tail,end,natural_001,3024,1008,0.24768518518518517
truncate_tail,end,rand_001,3024,1008,0.24735449735449735
truncate_tail,end,unicode_001,3024,1008,0.24702380952380953
truncate_tail,old_turn,boundary_001,3024,1008,1.0
truncate_tail,old_turn,multi_001,3024,1008,1.0
truncate_tail,old_turn,natural_001,3024,1008,1.0
truncate_tail,old_turn,rand_001,3024,1008,1.0
truncate_tail,old_turn,unicode_001,3024,1008,1.0
truncate_tail,recent_turn,boundary_001,3024,1008,0.7410714285714286
truncate_tail,recent_turn,multi_001,3024,1008,0.7443783068783069
truncate_tail,recent_turn,natural_001,3024,1008,0.7437169312169312
truncate_tail,recent_turn,rand_001,3024,1008,0.7437169312169312
truncate_tail,recent_turn,unicode_001,3024,1008,0.7423941798941799
truncate_tail,system,boundary_001,3024,1008,1.0
truncate_tail,system,multi_001,3024,1008,1.0
truncate_tail,system,natural_001,3024,1008,1.0
truncate_tail,system,rand_001,3024,1008,1.0
truncate_tail,system,unicode_001,3024,1008,1.0
truncate_tail,tool_output,boundary_001,180,60,0.1111111111111111
truncate_tail,tool_output,multi_001,180,60,0.1111111111111111
truncate_tail,tool_output,natural_001,180,60,0.1111111111111111
truncate_tail,tool_output,rand_001,180,60,0.1111111111111111
truncate_tail,tool_output,unicode_001,180,60,0.1111111111111111
truncate_middle,prefix,boundary_001,3024,1008,1.0
truncate_middle,prefix,multi_001,3024,1008,1.0
truncate_middle,prefix,natural_001,3024,1008,1.0
truncate_middle,prefix,rand_001,3024,1008,1.0
truncate_middle,prefix,unicode_001,3024,1008,1.0
truncate_middle,middle,boundary_001,3024,1008,0.4269179894179894
truncate_middle,middle,multi_001,3024,1008,0.43353174603174605
truncate_middle,middle,natural_001,3024,1008,0.43287037037037035
truncate_middle,middle,rand_001,3024,1008,0.43253968253968256
truncate_middle,middle,unicode_001,3024,1008,0.4312169312169312
truncate_middle,end,boundary_001,3024,1008,0.8237433862433863
truncate_middle,end,multi_001,3024,1008,0.8316798941798942
truncate_middle,end,natural_001,3024,1008,0.830026455026455
truncate_middle,end,rand_001,3024,1008,0.8283730158730159
truncate_middle,end,unicode_001,3024,1008,0.8263888888888888
truncate_middle,old_turn,boundary_001,3024,1008,1.0
